AGO,AGO-YQ
EGY,EGY-KB
BGD,BGD-VP
QAT,QAT-UR
SOM,SOM-IV
NAM,NAM-HR
BGR,BGR-UV
BOL,BOL-OE
GHA,GHA-XK
PAK,PAK-NM
PAN,PAN-KU
HND,HND-AN
JOR,JOR-TW
LBR,LBR-KD
LBY,LBY-OB
MYS,MYS-JI
ATA,ATA-BV
PRI,PRI-AO
MYT,MYT-PK
PSE,PSE-NM
TZA,TZA-KU
PRT,PRT-UC
VAT,VAT-DK
ETH,ETH-KJ
PRY,PRY-ZZ
HKG,HKG-PK
SAU,SAU-KL
LBN,LBN-XS
SVN,SVN-DY
BFA,BFA-TZ
CHE,CHE-FO
MRT,MRT-YH
CPV,CPV-MZ
HRV,HRV-NK
CHL,CHL-EO
CHN,CHN-GQ
FSM,FSM-GD
JAM,JAM-UH
GIB,GIB-VN
DJI,DJI-PF
GIN,GIN-HK
FIN,FIN-CZ
URY,URY-WP
THA,THA-FO
SYC,SYC-WS
NPL,NPL-JG
MAR,MAR-VY
YEM,YEM-KX
PHL,PHL-NN
ZAF,ZAF-AK
NIC,NIC-JP
BVT,BVT-AN
GAB,GAB-CS
VIR,VIR-FI
SYR,SYR-XP
MAC,MAC-ZM
LIE,LIE-IE
KIR,KIR-QW
KAZ,KAZ-ZP
COK,COK-MA
MNG,MNG-HI
PYF,PYF-GN
SUR,SUR-DM
DMA,DMA-TP
BEN,BEN-CA
NGA,NGA-XU
BEL,BEL-JZ
MSR,MSR-YM
DEU,DEU-PU
GUM,GUM-XS
LKA,LKA-XB
FLK,FLK-GB
GBR,GBR-UM
MWI,MWI-YR
CRI,CRI-MB
CMR,CMR-CT
ROM,ROM-QB
MNP,MNP-UD
NER,NER-TB
UGA,UGA-PY
TKM,TKM-DI
NIU,NIU-TK
TTO,TTO-ZJ
NLD,NLD-GX
COM,COM-HB
BMU,BMU-BR
TCD,TCD-EM
GEO,GEO-RJ
TCA,TCA-IS
MHL,MHL-CD
MTQ,MTQ-RE
BWA,BWA-WX
BLZ,BLZ-ZJ
NFK,NFK-NK
MMR,MMR-LR
AFG,AFG-EY
BDI,BDI-ZL
VGB,VGB-KG
BLR,BLR-LR
GRD,GRD-UP
TKL,TKL-WO
GRC,GRC-LP
LSO,LSO-PW
GRL,GRL-TF
AND,AND-RF
MOZ,MOZ-RF
TJK,TJK-TR
HTI,HTI-AE
BRB,BRB-MB
ANT,ANT-NH
LCA,LCA-IH
IND,IND-ER
IRL,IRL-NN
BTN,BTN-HP
VCT,VCT-BW
VNM,VNM-KH
NOR,NOR-IP
CZE,CZE-PZ
ATF,ATF-AK
ATG,ATG-HQ
FJI,FJI-XN
IOT,IOT-AN
MLT,MLT-HT
MUS,MUS-UW
DOM,DOM-RM
LUX,LUX-SD
ISR,ISR-DY
SMR,SMR-MW
PER,PER-XH
REU,REU-ES
IDN,IDN-BH
VUT,VUT-ZL
GNQ,GNQ-ZF
COD,COD-CU
COG,COG-MA
ISL,ISL-VP
GLP,GLP-DJ
WSM,WSM-UF
UMI,UMI-VU
COL,COL-SA
GUF,GUF-KP
SCG,SCG-XF
NRU,NRU-XC
MDA,MDA-JT
STP,STP-EY
MDG,MDG-MG
ECU,ECU-NP
SEN,SEN-OE
MDV,MDV-SZ
ASM,ASM-WN
KHM,KHM-CL
TLS,TLS-PW
FRA,FRA-DF
LTU,LTU-DE
RWA,RWA-QE
ZMB,ZMB-MW
TWN,TWN-CZ
WLF,WLF-GY
FRO,FRO-FM
GTM,GTM-VH
DNK,DNK-DZ
ZWE,ZWE-TS
AUS,AUS-AV
AUT,AUT-ZR
VEN,VEN-AZ
PLW,PLW-QW
KEN,KEN-YA
LAO,LAO-UN
TUR,TUR-EQ
ALB,ALB-JS
OMN,OMN-OJ
TUV,TUV-ID
ITA,ITA-NJ
BRN,BRN-VE
TUN,TUN-NY
HUN,HUN-NL
RUS,RUS-FT
MEX,MEX-OJ
BRA,BRA-BL
CIV,CIV-MP
MKD,MKD-RQ
USA,USA-IO
SWE,SWE-TM
UKR,UKR-LT
GNB,GNB-OX
SWZ,SWZ-YF
TON,TON-TP
CAN,CAN-OJ
KOR,KOR-ZU
AIA,AIA-JX
GUY,GUY-ZQ
SVK,SVK-XQ
CYP,CYP-LE
BIH,BIH-LM
SGP,SGP-NT
SGS,SGS-FL
AZE,AZE-QR
UZB,UZB-ZJ
CAF,CAF-AZ
POL,POL-KH
KWT,KWT-PE
GMB,GMB-FS
ERI,ERI-ME
TGO,TGO-WB
CYM,CYM-MN
EST,EST-JY
ESP,ESP-RN
IRQ,IRQ-HV
SLV,SLV-FR
MLI,MLI-HE
LVA,LVA-IF
IRN,IRN-YS
ABW,ABW-NB
SLE,SLE-YI
KNA,KNA-DI
BHS,BHS-KB
SLB,SLB-RL
NZL,NZL-SI
MCO,MCO-YD
JPN,JPN-LJ
KGZ,KGZ-HT
NCL,NCL-NR
ARE,ARE-MX
ARG,ARG-GF
SDN,SDN-ZC
BHR,BHR-MD
DZA,DZA-OY
ARM,ARM-AQ
PNG,PNG-WO
CUB,CUB-SI
